fund_name,to_risk_morningstar,category,rel,volatility,col_3,yr,return,ytd_pct,anlsd_pct_1,yr_2,anlsd_pct_3,yr_3,anlsd_pct_5,yr_4,anlsd_10_pct,yr_5
Cap JPMorgan Equity Diversified ETF Return U.S. Mid,Below,,Average,12.78,,,,1.63,0.31,,7.22,,10.06,,,
JPMorgan Diversified Return U.S. Small,Average,,,17.26,,,,3.03,1.26,,7.34,,8.90,,,
JPMorgan Equity Premium Income ETF,Below,,Average,,7.79,,,0.85,-0.86,,6.21,,9.85,,,
Large JPMorgan Value Fundamental ETF Data Science,Average,,,"11,50",,,13.95,,12.26,,12.44,,14.77,,12.38,
JPMorgan Enhanced International Equity ETF Research,Above,,Average,9.04,,,23.03,,21.61,,13.41,,10.14,,9.20,
JPMorgan Small & Mid Cap Enhanced,Below,,Average,16.68,,,,2.00,0.04,,9.59,,10.48,,11.57,
JPMorgan U.S. Momentum Factor ETF,High,,,13.51,,,11.27,,8.25,,19.03,,13.43,,,
JPMorgan U.S. Quality Factor ETF,Below,,Average,11.07,,,,4.98,2.75,,15.19,,14.14,,,
JPMorgan U.S. Value Factor ETF,Above,,Average,13.28,,,,9.25,7.19,,12.95,,13.70,,,
ex KraneShares China Index MSCI ETF Emerging Markets,Above,,Average,11.92,,,27.56,,25.59,,14.01,,8.75,,,
KraneShares Value Line@ Dynamic,Below,,Average,9.97,,,,9.06,6.71,,12.78,,14.40,,,
Lazard ETF International Dynamic Equity,Average,,,8.31,,,30.70,,29.79,,18.81,,13.60,,10.12,
LeaderSharesTM AlphaFactor@ US,Average,,,14.91,,,,5.91,3.66,,11.52,,10.80,,,
Leuthold Select Industries ETF,Average,,,13.84,,,14.96,,12.82,,14.95,,14.05,,13.38,
Logan ETF Capital Broad Innovative Growth,Above,,Average,16.96,,,11.85,,8.57,,24.53,,14.68,,18.08,
Matrix Advisors Value ETF,High,,,13.95,,,14.79,,12.24,,19.40,,15.17,,13.83,
Natixis Vaughan Nelson Select ETF,Above,,Average,13.72,,,,4.47,2.45,,10.79,,12.53,,,
Neuberger Commodity Strategy ETF,Average,,,11.49,,,12.57,,13.76,,2.85,,13.46,,9.04,
Neuberger Option Strategy ETF,Average,,,8.00,,,,4.32,2.54,,9.37,,9.15,,,
NYLI Candriam International Equity ETF,Below,,Average,8.28,,,18.23,,16.73,,11.61,,8.61,,,
ETF NYLI Candriam U.S. Large Cap Equity,Above,,Average,12.59,,,,7.38,4.21,,16.97,,13.14,,,
Currency NYLI FTSE Neutral International ETF Equity,Low,,,8.28,,,21.07,,19.98,,14.04,,11.58,,10.62,
Pacer Alternator Lunt Large ETF Cap Multi-Factor,High,,,13.93,,,,0.60,1.22,,11.31,,13.53,,,
Alternator Pacer Lunt ETF MidCap Multi-Factor,Above,,Average,17.90,,,3.71,,55.26,,11.67,,9.34,,,
Pacer US Cash Cows Growth ETF,Above,,Average,15.41,,,12.80,,10.10,,12.24,,12.30,,,
Pacer US Export Leaders ETF,High,,,15.39,,,19.61,,16.79,,14.92,,12.17,,,
International PIMCO RAFI Dynamic Equity ETF Multi-Factor,Below,,Average,,7.74,,25.00,,24.27,,13.83,,10.76,,,
PIMCO RAFI Dynamic Multi-Factor U.S_,Average,,,11.69,,,,8.75,6.61,,12.12,,13.31,,,
PIMCO RAFI ESG RAFI U.S. ESG ETF U.S. ETF PIMCO,Average,,,11.23,,,10.20,,8.01,,12.81,,12.89,,,
Infrastructure ProShares DJ Brookfield ETF Global,Average,,,9.14,,,,6.34,6.31,,6.54,,9.63,,8.66,
ProShares S&P 500@ ex-Energy ETF,Average,,,12.14,,,10.72,,7.55,,19.55,,14.67,,16.11,
ProShares ETF S&P 500@ ex-Financials,Average,,,12.51,,,11.29,,8.02,,19.56,,14.98,,16.08,
ProShares ETF S&P 500@0 ex-Health Care,Above,,Average,13.05,,,10.98,,7.80,,21.33,,15.76,,16.28,
RH Tactical Rotation ETF,Above,,Average,13.54,,,,9.51,6.00,,12.42,,8.87,,8.07,
Advantage RiverFront ETF Dynamic US Dividend,Above,,Average,12.15,,,,9.11,6.79,,13.80,,13.95,,,
Robo Global@ Artificial Intelligence ETF,Above,,Average,23.28,,,22.80,,19.16,,30.32,,10.01,,,
Schwab 1000 ETF,Average,,,12.55,,,10.08,,7.20,,18.64,,14.00,,,
Schwab Markets Fundamental Equity ETF Emerging,Average,,,10.42,,,20.54,,18.74,,14.55,,10.54,,11.78,
Equity Schwab Fundamental ETF International,Average,,,8.67,,,31.06,,30.37,,15.56,,13.19,,10.95,
Schwab Fundamental International,Average,,,8.68,,,26.69,,26.22,,12.63,,8.67,,9.28,
Schwab Market Fundamental ETF U.S. Broad,Above,,Average,12.00,,,,8.82,7.00,,13.03,,14.79,,14.30,
Schwab Fundamental U.S. Large,Average,,,11.77,,,,9.45,7.57,,13.33,,15.15,,14.52,
Schwab Fundamental U.S. Small,Above,,Average,18.32,,,,1.54,-0.01,,8.58,,10.02,,11.19,
Schwab International Equity ETFTM,Average,,,8.96,,,25.62,,24.47,,13.73,,9.71,,9.85,
Schwab U.S_ Broad Market ETF TM,Above,,Average,12.67,,,,9.87,7.02,,18.24,,13.66,,15.45,
Schwab U.S Dividend Equity ETFTM,Average,,,11.98,,,-2.53,,33.58,,3.08,,9.21,,12.64,
Schwab U.S. Large-Cap ETFTM,Average,,,12.43,,,10.28,,7.25,,18.90,,14.26,,15.87,
Schwab U.S. Large-Cap Growth ETF TM,Average,,,16.38,,,10.52,,6.46,,29.09,,16.32,,19.46,
Schwab U.S. Large-Cap Value ETFTM,Average,,,11.44,,,,8.77,7.33,,9.23,,11.42,,11.68,
Simplify US Equity PLUS Upside,High,,,18.38,,,14.73,,10.48,,21.25,,15.40,,,
SoFi Select 500 ETF,Below,,Average,14.28,,,15.32,,11.88,,23.04,,15.76,,,
SoFi Social 50 ETF,High,,,25.03,,,22.74,,16.85,,38.39,,16.44,,,
SP Exclusions Funds S&P ETF 500 Sharia Industry,Below,,Average,14.38,,,12.53,,8.90,,22.49,,16.84,,,
Resources SPDR s&P@ North ETF American Natural,Average,,,16.88,,,27.50,,27.28,,6.55,,18.70,,14.26,
SPDRW ETF Trust Dow Jones Industrial Average,Average,,,11.70,,,,7.78,5.75,,11.34,,12.04,,14.15,
SPDR@ EURO STOXX 50 ETF,Above,,Average,11.96,,,28.40,,26.61,,17.49,,12.41,,10.54,
SPDRQ MSCI ACWI ex-US ETF,Below,,Average,8.61,,,23.70,,22.43,,13.52,,8.92,,9.71,
SPDRO Reserves MSCI Free EAFE ETF Fossil Fuel,Average,,,8.69,,,22.41,,20.92,,13.38,,8.79,,,
SPDR@ ETF MSCI EAFE StrategicFactors,Low,,,,7.39,,20.50,,19.23,,11.53,,8.85,,9.22,
SPDRO ETF MSCI World StrategicFactors,Below,,Average,8.05,,,10.14,,8.59,,13.15,,11.69,,12.73,
SPDRO US ETF Portfolio Developed World ex,Average,,,9.08,,,25.47,,24.21,,13.67,,9.33,,9.74,
SPDRO Portfolio Europe ETF,Average,,,9.58,,,26.29,,24.94,,13.98,,10.38,,9.46,
Market ETF,Average,,,10.68,,,15.82,,13.27,,16.47,,12.26,,13.00,
SPDRR S&P 500@ ETF,Average,,,12.13,,,10.49,,7.57,,18.75,,14.97,,15.93,
SPDR@ Dividend s&P ETF Emerging Markets,Below,,Average,8.45,,,,8.64,7.80,,18.87,,12.26,,10.43,
Cap SPDR@ ETF s&P Emerging Markets Small,Below,,Average,9.15,,,,7.53,6.50,,9.68,,8.34,,9.73,
SPDR@ ETF s&P Global Natural Resources,Average,,,13.74,,,20.34,,20.50,,2.89,,11.06,,11.45,
SPDRO ETF s&P@ Global Infrastructure,Average,,,9.20,,,13.71,,13.11,,9.51,,10.71,,9.84,
SPDR@ ETF s&P@ International Dividend,Low,,,6.70,,,22.03,,21.66,,11.34,,8.41,,8.41,
Sprott Gold Miners ETF,Average,,,27.82,,,151.32,148.09,,,40.17,,20.95,,20.95,
Sprott Uranium Miners ETF,High,,,36.23,,,32.99,,32.61,,21.07,,25.95,,,
State Select Street@ Sector Communication SPDR@ ETF Services,Average,,,14.67,,,14.35,,11.65,,31.53,,13.38,,,
State Select Street@ Sector Consumer SPDR@ ETF Discretionary,Average,,,20.00,,,,1.74,-2.39,,19.98,,10.03,,14.38,
State SPDR@ Street@ ETF Energy Select Sector,Average,,,18.51,,,-1.11,,0.05,,0.10,,22.90,,9.09,
SPDR@ State Street@ ETF Financial Select Sector,Below,,Average,15.70,,,,8.17,6.34,,15.35,,15.98,,11.92,
SPDRO State Street@ ETF Health Care Select Sector,Below,,Average,12.54,,,,7.02,5.35,,2.47,,8.72,,10.90,
SPDR@ State Street@ ETF Industrial Select Sector,Below,,Average,14.21,,,12.13,,9.92,,14.31,,14.08,,14.54,
State ETF Street@ Multi-Asset Real Return,High,,,9.20,,,12.68,,13.06,,4.36,,11.34,,8.80,
State Street@ SPDR@ Global Dow ETF,Average,,,9.46,,,21.34,,19.40,,17.30,,15.34,,13.99,
State Street@e SPDR@ MSCI USA,Low,,,9.91,,,,6.91,4.77,,14.22,,13.04,,14.54,
State Technology Street@ ETF SPDRR NYSE,Above,,Average,21.59,,,30.17,,24.92,,38.25,,15.70,,23.23,
State 1500 Composite Street@ SPDR@ Stock Portfolio Market ETF S&P,Average,,,12.23,,,,9.81,6.97,,17.98,,14.58,,15.66,
400 T Mid Cap ETF,Above,,Average,16.11,,,,1.63,0.02,,9.02,,9.48,,11.63,
State 500 Growth Street@ ETF SPDRW Portfolio S&P,Average,,,14.99,,,14.77,,10.74,,24.83,,15.65,,18.17,
500 State Value Street@ ETF SPDR@ Portfolio S&P,Average,,,"11,.44",,,,5.96,4.12,,11.95,,13.53,,12.79,
50o@ State Street@ ETF SPDR@ Portfolio S&P,Average,,,12.10,,,10.58,,7.67,,18.84,,15.05,,16.03,
500@ State High Street@ Dividend SPDRO ETF Portfolio S&P,Average,,,13.81,,,-2.43,,-3.36,,4.02,,10.90,,10.05,
Low State Volatility Street@ Focus SPDR@ ETF Russell 1000,Below,,Average,11.49,,,,1.49,-0.13,,7.24,,10.67,,12.53,
State Momentum Streete Focus SPDRO ETF Russell 1000,Average,,,14.87,,,,4.10,2.19,,9.94,,10.89,,11.80,
State Yield Street@ Focus ETF SPDR@ Russell 1000,Average,,,13.94,,,,0.89,-0.28,,6.29,,12.51,,12.72,
State Cap Value Street@ ETF SPDRD S&P 400Tm Mid,Below,,Average,17.11,,,,1.31,0.20,,7.93,,11.27,,11.67,
State ETF Streete SPDRO s&P 500@ ESG,Above,,Average,12.17,,,10.98,,7.97,,19.11,,15.83,,,
Cap State Value Street@ ETF SPDR@ s&P 600 TM Small,Above,,Average,20.50,,,,0.58,1.09,,6.08,,9.33,,10.63,
Final State Frontiers Street@ ETF SPDR@ S&P Kensho,Average,,,20.02,,,40.44,,36.75,,25.71,,18.41,,,
State Streete SPDR@O s&P Kensho,Low,,,17.26,,,20.04,,16.06,,22.22,,13.81,,,
State Momentum Street@ Tilt ETF SPDR@ s&P@ 1500,Above,,Average,13.60,,,,6.57,3.39,,17.66,,14.42,,15.58,
State Value Tilt Streete ETF SPDRR s&P@ 1500,Above,,Average,12.21,,,,9.24,7.35,,13.06,,14.52,,14.45,
Fuel State Reserves Streete Free SPDRO ETF s&P@ 500 Fossil,Average,,,12.00,,,10.68,,7.59,,19.30,,14.67,,15.99,
State & Defense Streete ETF SPDR@ S&Pe Aerospace,Above,,Average,19.10,,,38.41,,34.43,,27.13,,17.57,,18.74,
State Markets Streete ETF SPDRW s&Pe Capital,Above,,Average,21.31,,,,4.88,2.31,,22.41,,17.73,,17.06,
State ETF Street@ SPDR@ s&P@ Dividend,Low,,,10.72,,,,1.15,-0.16,,2.57,,8.86,,10.95,
Homebuilders State Street@e ETF SPDR@ s&PB,High,,,24.90,,,-6.12,,-7.75,,16.40,,13.02,,13.88,
State ETF Streete SPDRe s&P@ Insurance,Below,,Average,15.78,,,,1.20,-0.34,,11.31,,14.78,,13.14,
Mining State Street@ ETF SPDR@ S&P@ Metals &,High,,,26.08,,,77.05,,74.88,,24.70,,28.29,,24.08,
Semiconductor State Streete ETF SPDRO s&Pe,High,,,31.05,,,22.82,,17.33,,20.82,,14.63,,23.94,
ETF State Street@ SPDR@ s&P@ Telecom,High,,,24.24,,,35.19,,31.00,,20.46,,13.64,,12.96,
Low State Volatility Street@ Index SPDRO ETF US Small Cap,Below,,Average,17.81,,,-0.56,,-2.26,,6.21,,9.88,,10.53,
State SPDR@ Street@ ETF Technology Select Sector,Below,,Average,18.79,,,17.58,,13.46,,28.98,,18.80,,23.70,
SPDR@ State Street@ ETF Utilities Select Sector,High,,,13.38,,,,7.78,6.81,,5.70,,10.27,,11.58,
Stratified LargeCap Index ETF,Above,,Average,"11,.47",,,,5.74,3.92,,9.47,,11.77,,,
T. Rowe Price Blue Chip Growth ETF,Above,,Average,16.35,,,11.32,,7.53,,29.91,,12.84,,,
T. Rowe Price Equity Income ETF,Average,,,"11,.71",,,,5.86,4.54,,8.08,,12.30,,,
T. Rowe Price Growth Stock ETF,Above,,Average,16.53,,,,8.58,4.72,,26.49,,10.20,,,
The Hoya Capital Housing ETF,High,,,19.91,,,3.82,,55.10,,11.24,,9.33,,,
Thrivent Mid Cap Value ETF,Average,,,15.27,,,,4.49,3.29,,7.80,,12.12,,,
Timothy Plan High Dividend Stock ETF,Below,,Average,"11,.79",,,,1.10,0.15,,5.72,,11.13,,,
Timothy Plan International ETF,Average,,,8.54,,,25.50,,24.76,,13.33,,8.32,,,
Timothy ETF Plan US LargelMid Cap Core,Below,,Average,12.71,,,,0.64,1.22,,7.99,,9.49,,,
Timothy Plan US Small Cap Core ETF,Average,,,17.92,,,,1.60,-0.15,,8.64,,10.19,,,
Toews ETF Agility Shares Managed Risk,Above,,Average,9.32,,,,4.62,2.21,,9.27,,9.55,,,
Metal U.S. Global Miners GO ETF GOLD and Precious,Average,,,30.86,,,124.75,121.61,,,39.54,,19.91,,,
"LP United States Commodity Index Fund,;",Average,,,12.20,,,10.10,,11.18,,7.75,,19.56,,7.89,
USCF Commodity SummerHaven Strategy No Dynamic K-1 Fund,Above,,Average,12.23,,,10.72,,11.73,,8.28,,20.81,,,
VanEck BDC Income ETF,Below,,Average,14.58,,,-12.26,-12.23,,,7.21,,11.93,,10.23,
VanEck Energy Income ETF,Average,,,14.98,,,-1.18,,-0.99,,16.42,,23.42,,11.21,
VanEck Environmental Services ETF,Below,,Average,15.39,,,,5.26,4.20,,8.93,,10.46,,14.43,
VanEck Gold Miners ETF,Average,,,30.15,,,"151,36",147.01,,,42.98,,22.16,,22.80,
VanEck Natural Resources ETF,Below,,Average,12.70,,,26.22,,25.78,,5.91,,12.71,,12.34,
VanEck Oil Refiners ETF,Below,,Average,16.11,,,28.55,,28.58,,6.36,,12.42,,10.56,
VanEck Real Assets ETF,High,,,10.50,,,20.15,,20.50,,11.49,,14.13,,,
VanEck Steel ETF,Above,,Average,22.14,,,39.16,,37.73,,12.61,,18.95,,20.90,
VanEck Uranium and Nuclear ETF,Above,,Average,30.41,,,48.02,,43.84,,30.83,,24.15,,15.06,
Index Vanguard Fund Communication ETF Shares Services,Average,,,15.83,,,17.26,,14.10,,29.73,,11.50,,"11,.43",
Vanguard Index Fund Consumer ETF Shares Discretionary,Average,,,20.31,,,,0.20,-4.08,,18.88,,9.09,,15.08,
Vanguard Fund ETF Dividend Shares Appreciation Index,Low,,,9.77,,,,7.16,4.98,,11.35,,11.92,,14.28,
Vanguard Shares Energy Index Fund ETF,Average,,,18.60,,,-1.84,,-0.25,,0.37,,23.43,,8.63,
Vanguard Shares Financials Index Fund ETF,Average,,,17.07,,,,8.31,6.36,,16.00,,16.00,,14.23,
Vanguard Fund ETF FTSE Shares AII-World ex-US Index,Below,,Average,8.51,,,23.41,,22.08,,13.23,,8.61,,9.70,
Vanguard Index Fund FTSE ETF Developed Shares Markets,Above,,Average,9.02,,,26.01,,24.80,,13.73,,9.59,,9.79,
Vanguard FTSE Europe ETF,Average,,,9.70,,,26.50,,25.14,,14.14,,10.47,,9.73,
Vanguard Shares Growth Index Fund ETF,Average,,,16.49,,,12.34,,8.24,,28.11,,15.22,,18.74,
Vanguard Fund ETF High Shares Dividend Yield Index,Below,,Average,11.07,,,,8.19,6.60,,9.27,,13.26,,12.47,
Vanguard Shares Industrials Index Fund ETF,Average,,,15.56,,,11.83,,9.59,,15.48,,13.90,,14.41,
Vanguard Fund ETF Information Shares Technology Index,Average,,,19.08,,,14.91,,10.56,,29.78,,17.65,,23.90,
Shares Vanguard Large-Cap Index Fund ETF,Average,,,12.36,,,10.85,,7.81,,19.32,,14.50,,16.00,
Vanguard Shares Materials Index Fund ETF,Average,,,15.47,,,,6.25,4.50,,4.96,,8.27,,11.35,
Vanguard ETF Shares Mega Cap Growth Index Fund,Above,,Average,16.93,,,13.52,,9.33,,30.00,,16.40,,19.64,
Shares Vanguard Mega Cap Index Fund ETF,Average,,,12.50,,,11.90,,8.71,,21.12,,15.61,,16.76,
Vanguard ETF Shares Mega Cap Value Index Fund,Below,,Average,10.51,,,,7.94,6.40,,9.94,,13.47,,13.04,
Vanguard Shares Mid-Cap Index Fund ETF,Average,,,14.02,,,,5.02,2.96,,10.57,,8.98,,12.12,
Vanguard ETF Shares Mid-Cap Value Index Fund,Average,,,13.38,,,,5.11,3.64,,8.15,,"11,.23",,11.06,
Vanguard S&P 500 ETF,Average,,,12.10,,,10.58,,7.67,,18.85,,15.04,,16.00,
Vanguard ETF Shares S&P 500 Growth Index Fund,Average,,,15.06,,,14.77,,10.69,,24.77,,15.58,,18.13,
Vanguard ETF Shares S&P 500 Value Index Fund,Average,,,11.51,,,,5.92,4.04,,11.89,,13.46,,12.71,
Vanguard ETF Shares s&P Mid-Cap 400 Index Fund,Above,,Average,16.18,,,,1.66,0.04,,9.00,,9.42,,11.80,
Vanguard Index Fund s&P ETF Mid-Cap Shares 400 Value,Average,,,17.12,,,,1.38,0.22,,7.98,,11.31,,11.63,
Vanguard Index Fund S&P ETF Small-Cap Shares 600 Value,Above,,Average,20.55,,,,0.60,-0.93,,6.09,,9.36,,10.56,
Vanguard ETF Shares Small-Cap Value Index Fund,Below,,Average,16.96,,,,2.87,1.32,,8.79,,11.00,,11.29,
Vanguard Fund ETF Total Shares Stock Market Index,Above,,Average,12.66,,,,9.99,7.11,,18.19,,13.63,,15.46,
Vanguard ETF Shares Total World Stock Index Fund,Average,,,10.47,,,14.67,,12.29,,16.16,,11.55,,12.91,
Vanguard Shares Utilities Index Fund ETF,Above,,Average,13.28,,,,8.26,7.33,,5.67,,10.12,,11.50,
Vanguard Value Index Fund ETF Shares,Below,,Average,10.91,,,,7.87,6.26,,9.64,,13.18,,12.79,
Vident International Equity Strategy ETF,Above,,Average,9.92,,,32.66,,31.02,,17.22,,11.99,,10.32,
Virtus ETF InfraCap U.S. Preferred Stock,High,,,14.04,,,,0.62,0.65,,12.65,,9.50,,,
Virtus LifeSci Biotech Products ETF,Above,,Average,17.78,,,26.10,,23.45,,14.38,,8.07,,11.32,
Virtus Private Credit ETF,High,,,12.38,,,-13.82,-13.79,,,3.52,,8.43,,,
Virtus Reaves Utilities ETF,High,,,17.53,,,17.33,,15.44,,16.84,,17.50,,15.32,
WBI Power Factor@ High Dividend ETF,Above,,Average,15.17,,,,7.54,5.28,,7.96,,11.97,,,
Dividend Wisdom Tree Fund Emerging Markets High,Below,,Average,8.75,,,12.62,,11.21,,10.95,,9.19,,10.33,
Wisdom Multifactor Tree Fund Emerging Markets,Low,,,8.47,,,12.52,,11.22,,12.80,,8.63,,,
SmallCap WisdomTree Dividend Emerging Fund Markets,Below,,Average,8.82,,,12.31,,11.28,,9.02,,8.57,,10.15,
Wisdom Tree Enhanced Commodity,Below,,Average,11.37,,,13.86,,14.26,,6.85,,12.20,,,
Wisdom Fund Tree Equity Premium Income,Below,,Average,8.96,,,,7.28,4.42,,11.93,,11.47,,,
Fund Wisdom Tree Europe Hedged Equity,Below,,Average,12.71,,,13.91,,13.18,,13.16,,12.82,,10.76,
Fund Wisdom Tree European Opportunities,Below,,Average,9.81,,,28.47,,28.10,,17.59,,14.96,,12.29,
WisdomTree Global High Dividend Fund,Average,,,9.33,,,"14,02",,13.21,,10.32,,12.34,,9.89,
WisdomTree India Earnings Fund,Above,,Average,12.06,,,55.95,,"""7.18",,9.25,,11.79,,11.29,
Value WisdomTree Fund International Al Enhanced,Below,,Average,,7.65,,28.37,,28.10,,14.18,,10.65,,8.83,
Wisdom Tree International Equity Fund,Below,,Average,,7.76,,25.49,,24.66,,13.57,,10.88,,8.79,
Wisdom Tree International Hedged,Low,,,10.40,,,,6.12,5.28,,8.81,,9.28,,10.63,
Fund WisdomTree International High Dividend,Below,,Average,8.58,,,31.99,,32.51,,14.23,,12.57,,9.05,
Wisdom Dividend Tree Fund International MidCap,Below,,Average,8.10,,,28.12,,27.43,,13.67,,9.34,,"8,56",
Wisdom Tree International Multifactor,Low,,,5.62,,,16.32,,15.50,,10.65,,9.79,,,
Fund WisdomTree Japan Hedged Equity,Above,,Average,14.23,,,22.66,,22.26,,28.76,,25.48,,15.27,
Fund Wisdom Tree Japan SmallCap Dividend,Below,,Average,,7.74,,22.03,,22.68,,14.36,,8.94,,9.15,
International Wisdom Tree True Fund Developed,Below,,Average,,7.82,,27.40,,26.90,,13.97,,11.98,,9.12,
Fund WisdomTree U.S. Al Enhanced Value,Below,,Average,11.12,,,,2.63,1.19,,6.33,,9.35,,9.24,
Wisdom Tree U.S. High Dividend Fund,Average,,,12.78,,,,5.27,4.48,,6.06,,12.41,,10.63,
Fund WisdomTree U.S. LargeCap Dividend,Below,,Average,10.28,,,,8.09,6.45,,11.01,,13.43,,13.41,
WisdomTree U.S. LargeCap Fund,Average,,,11.91,,,10.07,,7.49,,17.28,,14.49,,15.05,
Fund Wisdom Tree U.S_ MidCap Dividend,Average,,,15.36,,,-2.47,,3.42,,6.88,,11.30,,10.69,
Fund WisdomTree U.S. MidCap Earnings,Average,,,17.83,,,,2.10,0.87,,9.07,,10.87,,11.42,
Fund Wisdom Tree U.S. SmallCap Earnings,Above,,Average,20.66,,,,0.67,-0.58,,8.17,,9.81,,10.98,
Wisdom Tree U.S. Total Dividend Fund,Below,,Average,10.78,,,,6.96,5.32,,10.49,,13.19,,12.99,
Wisdom Tree U.S_ Value Fund,Average,,,15.41,,,,6.28,5.01,,15.61,,15.97,,14.46,
Xtrackers MSCI AIl World ex US,Low,,,9.26,,,17.51,,16.89,,14.27,,11.84,,11.01,
Xtrackers ETF MSCI EAFE Hedged Equity,Low,,,9.61,,,"14,53",,13.45,,14.10,,13.97,,"11,67",
Xtrackers MSCI EAFE High Dividend,Below,,Average,8.08,,,23.66,,23.27,,13.05,,11.41,,9.56,
Xtrackers ETF MSCI Europe Hedged Equity,Low,,,10.34,,,13.65,,13.26,,11.60,,12.79,,11.11,
Xtrackers Equity ETF MSCI Eurozone Hedged,Below,,Average,11.15,,,16.87,,16.06,,14.22,,13.21,,11.31,
Xtrackers ETF MSCI Japan Hedged Equity,Below,,Average,14.16,,,20.19,,19.77,,24.74,,19.70,,13.76,
Xtrackers MSCI Kokusai Equity ETF,Above,,Average,10.74,,,13.30,,12.09,,17.56,,13.41,,,
Xtrackers ETF MSCI USA Selection Equity,Above,,Average,13.15,,,11.98,,8.68,,19.75,,15.49,,,
Xtrackers Russell 1000 US QARP ETF,Below,,Average,11.06,,,,6.52,5.04,,14.41,,13.96,,,
Xtrackers Russell US Multifactor ETF,Below,,Average,12.18,,,,3.55,1.68,,9.23,,10.68,,12.02,
Xtrackers ETF S&P 500 Scored & Screened,Above,,Average,12.13,,,11.05,,8.05,,19.10,,15.85,,,
